LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18674125,8/21/18 13:20,8/21/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"1400 E ALONDRA BLVD, COMPTON, CA",1400 E ALONDRA BLVD,COMPTON,,918-11866-2847,2847,11866,NO,CA0190042,COMPTON,N
18485791,2/11/18 12:49,2/11/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"6800 SAN RAFAEL ST, PARAMOUNT, CA  90723",6800 SAN RAFAEL ST,PARAMOUNT,90723,918-03446-1363,1363,3446,NO,CA0190013,LAKEWOOD,N
18634097,7/10/18 8:52,7/10/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"6600 CENTRAL AVE, LOS ANGELES, CA  90001",6600 CENTRAL AVE,LOS ANGELES,90001,918-10005-2170,2170,10005,NO,CA01900V3,CENTURY,N
18714637,10/2/18 15:53,10/2/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"7800 PACIFIC BLVD, WALNUT PARK, CA",7800 PACIFIC BLVD,WALNUT PARK,,918-14354-2178,2178,14354,NO,CA01900V3,CENTURY,N
18512036,3/9/18 10:30,3/9/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"700 W AVENUE K-4, LANCASTER, CA",700 W AVENUE K-4,LANCASTER,,918-04614-1124,1124,4614,NO,CA0190024,LANCASTER,N
18553362,4/18/18 18:35,4/18/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"2900 EL NIDO DR, ALTADENA, CA  91001",2900 EL NIDO DR,ALTADENA,91001,918-01133-0771,771,1133,NO,CA0190007,ALTADENA,N
18705090,9/22/18 14:06,9/22/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"10TH ST E AND AVENUE I, LANCASTER, CA",10TH ST E AND AVENUE I,LANCASTER,,918-19459-1131,1131,19459,NO,CA0190024,LANCASTER,N
18661857,8/8/18 13:27,8/8/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"73RD ST AND COMPTON AVE, LOS ANGELES, CA  90001",73RD ST AND COMPTON AVE,LOS ANGELES,90001,918-11459-2172,2172,11459,NO,CA01900V3,CENTURY,N
18737521,10/25/18 19:58,10/25/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"92ND ST AND JUNIPER ST, LOS ANGELES, CA",92ND ST AND JUNIPER ST,LOS ANGELES,,918-15578-2177,2177,15578,NO,CA01900V3,CENTURY,N
18714008,10/2/18 2:15,10/2/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"9400 WHITTIER BLVD, PICO RIVERA, CA  90660",9400 WHITTIER BLVD,PICO RIVERA,90660,918-06783-1512,1512,6783,NO,CA0190015,PICO RIVERA,N
18493164,2/17/18 11:10,2/17/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"60 FWY AND BREA CANYON RD, DIAMOND BAR, CA",60 FWY AND BREA CANYON RD,DIAMOND BAR,,918-01254-2928,2928,1254,NO,CA0190020,WALNUT,N
18510106,3/7/18 13:46,3/7/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"74TH ST AND BELL AVE, LOS ANGELES, CA  90001",74TH ST AND BELL AVE,LOS ANGELES,90001,918-03516-2173,2173,3516,NO,CA01900V3,CENTURY,N
18553909,4/16/18 12:40,4/19/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"CENTRAL AVE AND MT. OLIVE DR, DUARTE, CA  91010",CENTRAL AVE AND MT. OLIVE DR,DUARTE,91010,918-04766-0542,542,4766,NO,CA0190005,TEMPLE,N
18741813,10/30/18 14:42,10/30/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"7800 SEVILLE, WALNUT PARK, CA",7800 SEVILLE,WALNUT PARK,,918-15817-2178,2178,15817,NO,CA01900V3,CENTURY,N
18453838,1/11/18 13:53,1/11/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"8800 PRINCE AVE, LOS ANGELES, CA",8800 PRINCE AVE,LOS ANGELES,,918-00524-2174,2174,524,NO,CA01900V3,CENTURY,N
18624317,6/28/18 16:05,6/28/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"8400 PIONEER BLVD, WHITTIER, CA",8400 PIONEER BLVD,WHITTIER,,918-04575-1578,1578,4575,NO,CA0190015,PICO RIVERA,N
18522374,3/19/18 9:12,3/19/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"E SEPULVEDA BLVD AND CABRITO RD, VAN NUYS, CA",E SEPULVEDA BLVD AND CABRITO RD,VAN NUYS,,918-00057-6151,6151,57,NO,CA01900V6,METROLINK BUREAU,N
